Number,Hotel,Rating,link,Travel,Location,Sleep,Rooms,Distance,Reviews,Cleanliness,New Rating_0_5,Residuals,New Rating
33,"The Golden Palms Hotel & Spa, Colva",4,http://www.tripadvisor.in/Hotel_Review-g1064392-d634618-Reviews-The_Golden_Palms_Hotel_Spa_Colva-Colva_Goa.html,7,3.5,4,4,3.5,3.5,4,3.2,0.6,6.3
34,Nirvana Hermitage,3,http://www.tripadvisor.in/Hotel_Review-g306992-d736125-Reviews-Nirvana_Hermitage-Anjuna_Bardez_Goa.html,7,3.5,4,3.5,3.5,3.5,3.5,2.9,0,5.7
35,Resort Lagoa Azul,3,http://www.tripadvisor.in/Hotel_Review-g635747-d498686-Reviews-Resort_Lagoa_Azul-Baga_Goa.html,7,4,4,4,4,4,4,2.8,0,5.6
36,Mira Hotel,3,http://www.tripadvisor.in/Hotel_Review-g306995-d638169-Reviews-Mira_Hotel-Calangute_Goa.html,8,4.5,3.5,4,4,4,4,2.5,0.2,5
37,Varca Palms Beach Resort,3,http://www.tripadvisor.in/Hotel_Review-g1096236-d589478-Reviews-Varca_Palms_Beach_Resort-Varca_Goa.html,6,4,3.5,3,3.5,3.5,3.5,2,1,4.1
38,Golden Tulip Goa Candolim,4,http://www.tripadvisor.in/Hotel_Review-g297605-d3915602-Reviews-Golden_Tulip_Goa_Candolim-Candolim_Bardez_Goa.html,8,4,4.5,4.5,4.5,4.5,4.5,3.6,0.2,7.2
39,Calangute Residency,2.5,http://www.tripadvisor.in/Hotel_Review-g306995-d1178946-Reviews-Calangute_Residency-Calangute_Goa.html,7,4.5,3.5,3.5,3,3.5,3,2.7,0,5.4
40,Pride Sun Village Resort and Spa,3,http://www.tripadvisor.in/Hotel_Review-g312680-d477584-Reviews-Pride_Sun_Village_Resort_and_Spa-Arpora_Goa.html,7,3.5,4,3.5,4,3.5,4,3,0,5.9
41,The O Hotel,4.5,http://www.tripadvisor.in/Hotel_Review-g297605-d1629283-Reviews-The_O_Hotel-Candolim_Bardez_Goa.html,7,4.5,4,4,4,4,4,2.8,2.9,5.7
42,MAYFAIR Hideaway Spa Resort,4,http://www.tripadvisor.in/Hotel_Review-g297606-d2041908-Reviews-MAYFAIR_Hideaway_Spa_Resort-Salcette_District_Goa.html,8,3.5,4.5,4.5,4.5,4.5,4.5,3.7,0.1,7.4
43,Rococco Ashvem,3,http://www.tripadvisor.in/Hotel_Review-g1015400-d1236035-Reviews-Rococco_Ashvem-Pernem_Goa.html,7,4.5,4,3.5,3.5,3.5,3.5,3.2,0,6.3
44,Marquis Beach Resort,3,http://www.tripadvisor.in/Hotel_Review-g297605-d477602-Reviews-Marquis_Beach_Resort-Candolim_Bardez_Goa.html,7,4.5,4,3.5,3.5,3.5,4,3.2,0,6.4
45,The Baga Marina,3.5,http://www.tripadvisor.in/Hotel_Review-g635747-d1552446-Reviews-The_Baga_Marina-Baga_Goa.html,8,4.5,4,4,4,4,4,3,0.2,6.1
46,Sandalwood Hotel & Retreat,3.5,http://www.tripadvisor.in/Hotel_Review-g1087527-d1811897-Reviews-Sandalwood_Hotel_Retreat-Dona_Paula_Goa.html,8,4,4.5,4.5,4.5,4,4.5,3.9,0.2,7.7
47,Majorda Beach Resort,3.5,http://www.tripadvisor.in/Hotel_Review-g1199433-d456139-Reviews-Majorda_Beach_Resort-Majorda_Goa.html,7,4,4,3.5,3.5,3.5,3.5,3,0.2,6.1
48,10 Calangute,3.5,http://www.tripadvisor.in/Hotel_Review-g306995-d1180849-Reviews-10_Calangute-Calangute_Goa.html,8,4,4,4.5,4.5,4.5,4.5,3,0.2,6
49,Heritage Village Club Goa,4,http://www.tripadvisor.in/Hotel_Review-g312681-d477582-Reviews-Heritage_Village_Club_Goa-Cansaulim_Goa.html,8,4,4.5,4,4.5,4.5,4.5,3.3,0.5,6.5
50,"juSTa Panjim, Goa",3.5,http://www.tripadvisor.in/Hotel_Review-g303877-d4048619-Reviews-JuSTa_Panjim_Goa-Panaji_Goa.html,8,3.5,4.5,4.5,4.5,4.5,4.5,3.7,0,7.4
51,Kenilworth Resort & Spa,4.5,http://www.tripadvisor.in/Hotel_Review-g1204863-d424404-Reviews-Kenilworth_Resort_Spa-Utorda_Goa.html,8,4.5,4.5,4,4,4,4.5,3.7,0.6,7.3
52,Hotel Delmon,3,http://www.tripadvisor.in/Hotel_Review-g303877-d736517-Reviews-Hotel_Delmon-Panaji_Goa.html,7,4.5,4,4,4,4,3.5,2.8,0,5.6
53,Hotel Calangute Towers,3,http://www.tripadvisor.in/Hotel_Review-g306995-d1523298-Reviews-Hotel_Calangute_Towers-Calangute_Goa.html,7,4,4,3.5,3.5,3.5,3.5,3,0,6.1
54,The Banyan Soul,2.5,http://www.tripadvisor.in/Hotel_Review-g306992-d1380556-Reviews-The_Banyan_Soul-Anjuna_Bardez_Goa.html,8,4,4.5,4.5,4,4.5,4.5,3.9,2,7.8
55,Renzo's Inn,2.5,http://www.tripadvisor.in/Hotel_Review-g306995-d1585655-Reviews-Renzo_s_Inn-Calangute_Goa.html,8,4.5,4.5,4.5,4.5,4.5,4.5,3.5,1,7
